Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement Rate,Fake Score,Trust Score,Anomaly
yawnzzn,102,Unknown,9600000.0,India,3200000.0,4099999.9999999995,33.33333333333333,0,100,-1
chrisevans,103,Unknown,17000000.0,United States,1900000.0,2300000.0,11.176470588235295,0,100,1
twicetagram,104,MusicModeling,26100000.0,Indonesia,1200000.0,1500000.0,4.597701149425287,0,100,1
priyankachopra,105,Cinema & Actors/actresses,80200000.0,India,390300.0,471900.0,0.4866583541147132,50,50,1
ursulolita,106,Cinema & Actors/actressesModeling,24100000.0,Brazil,1100000.0,1600000.0,4.564315352697095,0,100,1
jenniferaniston,107,Cinema & Actors/actresses,40700000.0,Brazil,628000.0,911900.0,1.542997542997543,0,100,1
hi_high_hiy,108,Cinema & Actors/actresses,14300000.0,South Korea,2200000.0,2600000.0,15.384615384615385,0,100,1
addisonraee,109,Beauty,40400000.0,United States,579200.0,892300.0,1.4336633663366338,0,100,1
nike,110,Fitness & GymShopping & RetailClothing & Outfits,227600000.0,United States,123500.0,158400.0,0.05426186291739894,80,20,-1
finnwolfhardofficial,111,MusicCinema & Actors/actresses,24600000.0,Brazil,1100000.0,1400000.0,4.471544715447155,0,100,1
samantharuthprabhuoffl,112,BeautyModelingCinema & Actors/actresses,24200000.0,India,1200000.0,1400000.0,4.958677685950414,0,100,1
madelame,113,Cinema & Actors/actresses,25400000.0,Russia,965600.0,1400000.0,3.8015748031496064,0,100,1
miakhalifa,114,Fitness & GymLifestyle,27800000.0,India,769700.0,1200000.0,2.768705035971223,0,100,1
jannatzubair29,115,Cinema & Actors/actresses,43300000.0,India,635300.0,772100.0,1.4672055427251731,0,100,1
katyperry,116,Music,167200000.0,Brazil,156300.0,200400.0,0.09348086124401914,80,20,1
meganfox,117,Cinema & Actors/actresses,20400000.0,United States,973900.0,1600000.0,4.774019607843137,0,100,1
vindiesel,118,Cinema & Actors/actresses,81700000.0,Brazil,309800.0,403900.0,0.3791921664626683,50,50,1
kapilsharma,119,Cinema & Actors/actressesShows,42000000.0,India,683800.0,780700.0,1.6280952380952383,0,100,1
camimendes,120,Cinema & Actors/actresses,27100000.0,Brazil,861500.0,1200000.0,3.178966789667897,0,100,1
akshaykumar,121,Cinema & Actors/actresses,62600000.0,India,428100.0,511500.0,0.6838658146964857,50,50,1
tyga,122,Music,35400000.0,United States,604100.0,904100.0,1.706497175141243,0,100,1
